,state,stateabv,electors,veptotbal,vephioff,vephioffpct,vaphioff,totbal,hioff,vep,vap,noncit,prison,prob,parol,totfelon,votperelec,potperelec,avvotperelec,avpotperelec,votpow,potpow,wvvotperelec,avwvvotperelec,wvpotpow
52,Wyoming,WY,3,0.602279,0.595439,59.5439,0.573144,258788,255849,429682,446396,0.024395,2323,4666,842,5825,85283,143227,221485.84,363465.46,2.6,2.54,85283,224264.7059,2.629653107
10,District of Columbia,DC,3,0.606649,0.604112,60.4112,0.553534,312575,311268,515248,562329,0.083724,0,0,0,0,103756,171749,221485.84,363465.46,2.13,2.12,103756,224264.7059,2.161462526
47,Vermont,VT,3,0.647577,0.636665,63.6665,0.622603,320467,315067,494871,506048,0.022087,0,0,0,0,105022,164957,221485.84,363465.46,2.11,2.2,105022,224264.7059,2.135406923
3,Alaska,AK,3,0.614662,0.609567,60.9567,0.573689,321271,318608,522679,555367,0.041026,4317,6621,1812,9903,106203,174226,221485.84,363465.46,2.09,2.09,106203,224264.7059,2.111660743
13,Hawaii,HI,4,0.432107,0.423491,42.3491,0.382821,437664,428937,1012860,1120465,0.091151,5474,0,0,5474,107234,253215,221485.84,363465.46,2.07,1.44,107234,224264.7059,2.091358206
36,North Dakota,ND,3,0.617423,0.607569,60.7569,0.592511,349945,344360,566783,581188,0.021704,1791,0,0,1791,114787,188928,221485.84,363465.46,1.93,1.92,114787,224264.7059,1.953746556
41,Rhode Island,RI,4,0.597432,0.590505,59.0505,0.546711,469589,464144,786012,848975,0.070585,3038,0,0,3038,116036,196503,221485.84,363465.46,1.91,1.85,116036,224264.7059,1.932716621
43,South Dakota,SD,3,0.600461,0.586357,58.6357,0.566029,378995,370093,631173,653841,0.024833,3744,0,2687,6431,123364,210391,221485.84,363465.46,1.8,1.73,123364,224264.7059,1.817910459
50,West Virginia,WV,5,NA,0.502043,50.2043,0.49162,NA,714423,1423031,1453201,0.010848,7137,6523,3550,14405,142885,284606,221485.84,363465.46,1.55,1.28,210608.44,224264.7059,1.064841969
9,Delaware,DE,3,0.643653,0.641609,64.1609,0.591853,445228,443814,691720,749872,0.05699,6254,15395,387,15416,147938,230573,221485.84,363465.46,1.5,1.58,147938,224264.7059,1.515937122
33,New Mexico,NM,5,0.549017,0.545108,54.5108,0.50175,804043,798319,1464515,1591069,0.068893,6914,12714,2780,16941,159664,292903,221485.84,363465.46,1.39,1.24,159664,224264.7059,1.40460408
28,Montana,MT,3,0.642711,0.618149,61.8149,0.607981,516901,497147,804250,817702,0.011809,3795,0,0,3795,165716,268083,221485.84,363465.46,1.34,1.36,165716,224264.7059,1.353307501
29,Nebraska,NE,5,0.640393,0.628229,62.8229,0.587723,860573,844227,1343821,1436437,0.054831,5079,13489,1088,13856,168845,268764,221485.84,363465.46,1.31,1.35,168845,224264.7059,1.328228292
14,Idaho,ID,4,0.609018,0.591627,59.1627,0.550476,710545,690255,1166706,1253925,0.044455,7949,32409,5054,31476,172564,291677,221485.84,363465.46,1.28,1.25,172564,224264.7059,1.29960308
31,New Hampshire,NH,4,0.724831,0.713751,71.3751,0.69125,755850,744296,1042795,1076739,0.028907,2818,0,0,2818,186074,260699,221485.84,363465.46,1.19,1.39,186074,224264.7059,1.205244719
21,Maine,ME,4,0.72932,0.706677,70.6677,0.693786,771892,747927,1058372,1078037,0.018241,0,0,0,0,186982,264593,221485.84,363465.46,1.18,1.37,186982,224264.7059,1.199391952
30,Nevada,NV,6,0.573734,0.573712,57.3712,0.494396,1125429,1125385,1961587,2276281,0.126464,13742,13724,5261,26826,187564,326931,221485.84,363465.46,1.18,1.11,187564,224264.7059,1.195670309
5,Arkansas,AR,6,0.531645,0.52831,52.831,0.494456,1137772,1130635,2140097,2286625,0.038437,17242,30881,23792,58636,188439,356683,221485.84,363465.46,1.18,1.02,188439,224264.7059,1.190118319
46,Utah,UT,6,0.578532,0.56802,56.802,0.527526,1152369,1131430,1991885,2144784,0.068563,5846,0,0,5846,188572,331981,221485.84,363465.46,1.17,1.09,188572,224264.7059,1.189278927
18,Kansas,KS,6,0.596715,0.576625,57.6625,0.540225,1225667,1184402,2054025,2192423,0.052208,9613,16654,4830,23936,197400,342338,221485.84,363465.46,1.12,1.06,197400,224264.7059,1.136092735
26,Mississippi,MS,6,NA,0.551905,55.1905,0.533205,NA,1209357,2191241,2268089,0.014323,19150,29067,8645,44363,201560,365207,221485.84,363465.46,1.1,1,201560,224264.7059,1.112644899
38,Oklahoma,OK,7,NA,0.522994,52.2994,0.489898,NA,1452992,2778219,2965905,0.047193,26691,33562,1895,47716,207570,396888,221485.84,363465.46,1.07,0.92,207570,224264.7059,1.080429281
44,Tennessee,TN,11,0.518446,0.51086,51.086,0.485584,2545271,2508027,4909426,5164969,0.034823,27906,62609,12092,75685,228002,446311,221485.84,363465.46,0.97,0.81,228002,224264.7059,0.983608503
42,South Carolina,SC,9,0.572505,0.566963,56.6963,0.541578,2123584,2103027,3709283,3883145,0.033623,20350,32634,4347,43298,233670,412143,221485.84,363465.46,0.95,0.88,233670,224264.7059,0.959749672
8,Connecticut,CT,7,0.648901,0.636884,63.6884,0.582905,1675955,1644920,2582761,2821935,0.078429,14475,0,3379,17854,234989,368966,221485.84,363465.46,0.94,0.99,234989,224264.7059,0.95436257
2,Alabama,AL,9,0.591243,0.588282,58.8282,0.563207,2134061,2123372,3609447,3770142,0.024856,28680,52177,8562,66983,235930,401050,221485.84,363465.46,0.94,0.91,235930,224264.7059,0.950556122
45,Texas,TX,38,0.514359,0.514028,51.4028,0.433892,8975000,8969226,17448910,20671564,0.13268,155327,374285,111287,479956,236032,459182,221485.84,363465.46,0.94,0.79,236032,224264.7059,0.950145344
4,Arizona,AZ,11,0.561461,0.54947,54.947,0.488584,2661497,2604657,4740310,5331034,0.094079,37582,77373,7500,89185,236787,430937,221485.84,363465.46,0.94,0.84,236787,224264.7059,0.947115787
19,Kentucky,KY,8,0.595657,0.586198,58.6198,0.56087,1955195,1924149,3282420,3430652,0.024007,22868,48457,15383,65871,240519,410303,221485.84,363465.46,0.92,0.89,240519,224264.7059,0.932419916
16,Indiana,IN,11,0.57891,0.563916,56.3916,0.540143,2807676,2734958,4849937,5063393,0.03723,24948,0,0,24948,248633,440903,221485.84,363465.46,0.89,0.82,248633,224264.7059,0.90199091
20,Louisiana,LA,8,0.605576,0.599519,59.9519,0.568093,2049531,2029032,3384435,3571652,0.027401,35543,40174,30907,89349,253629,423054,221485.84,363465.46,0.87,0.86,253629,224264.7059,0.884223436
12,Georgia,GA,16,0.598481,0.5912,59.12,0.525629,4165405,4114732,6959963,7828207,0.071602,51092,410964,22386,307727,257171,434998,221485.84,363465.46,0.86,0.84,257171,224264.7059,0.872045082
6,California,CA,55,0.58198,0.564895,56.4895,0.469565,14610509,14181595,25104844,30201571,0.16444,130390,0,0,130390,257847,456452,221485.84,363465.46,0.86,0.8,257847,224264.7059,0.869758833
17,Iowa,IA,6,0.690997,0.684294,68.4294,0.650638,1581371,1566031,2288536,2406915,0.036048,8888,29254,6051,31614,261005,381423,221485.84,363465.46,0.85,0.95,261005,224264.7059,0.859235286
34,New York,NY,29,0.572369,0.56756,56.756,0.496302,7786881,7721453,13604645,15557982,0.119713,46416,0,44426,90842,266257,469126,221485.84,363465.46,0.83,0.77,266257,224264.7059,0.84228661
49,Washington,WA,12,0.656535,0.647473,64.7473,0.582768,3363440,3317019,5123020,5691833,0.08578,18335,89317,11322,80568,276418,426918,221485.84,363465.46,0.8,0.85,276418,224264.7059,0.811324537
32,New Jersey,NJ,14,0.658053,0.644208,64.4208,0.556624,3957303,3874046,6013656,6959892,0.119609,18504,140589,15128,113768,276718,429547,221485.84,363465.46,0.8,0.85,276718,224264.7059,0.810444951
22,Maryland,MD,10,0.670067,0.66389,66.389,0.595484,2807322,2781446,4189616,4670900,0.087832,19382,72529,10305,71029,278145,418962,221485.84,363465.46,0.8,0.87,278145,224264.7059,0.80628703
